6.719;46.281;Abondance;http://www.valdabondance.com/;http://www.skiinfo.fr/meteo-neige/enneigement/abondance-EFRABONDA-100-fr.jhtml
6.77;46.194;Avoriaz;http://www.avoriaz.com/;http://www.skiinfo.fr/meteo-neige/enneigement/avoriaz-EFRAVORIAZ-100-fr.jhtml
6.872;45.925;Chamonix Mont-Blanc;http://www.chamonix-mont-blanc.fr/;http://www.skiinfo.fr/meteo-neige/enneigement/chamonix-mont-blanc-EFRCHAMONIXM-100-fr.jhtml
6.841;46.268;Chatel;http://www.chatel.com/;http://www.skiinfo.fr/meteo-neige/enneigement/chatel-EFRCHATEL-100-fr.jhtml
6.645;45.895;Combloux;http://www.combloux.com/;http://www.skiinfo.fr/meteo-neige/enneigement/combloux-EFRCOMBLOUX-100-fr.jhtml
6.69;46.007;Flaine;http://www.flaine.com;http://www.skiinfo.fr/meteo-neige/enneigement/flaine-EFRFLAINE-100-fr.jhtml
6.788;46.296;La Chapelle d'Abondance;http://www.lachapelle74.com/;http://www.skiinfo.fr/meteo-neige/enneigement/la-chapelle-abondance-EFRCHAPDAB-100-fr.jhtml
6.535;46.228;La Clusaz;http://www.laclusaz.com/;http://www.skiinfo.fr/meteo-neige/enneigement/la-clusaz-EFRCLUSAZ-100-fr.jhtml
6.427;45.942;Le Grand Bornand;http://www.legrandbornand.com/;http://www.skiinfo.fr/meteo-neige/enneigement/le-grand-bornand-EFRGRANDBORN-100-fr.jhtml
6.728;45.82;Les Contamines Montjoie;http://www.lescontamines.com;http://www.skiinfo.fr/meteo-neige/enneigement/les-contamines-montjoie-EFRCONTAMINE-100-fr.jhtml
6.67;46.159;Les Gets;http://www.lesgets.com/;http://www.skiinfo.fr/meteo-neige/enneigement/les-gets-EFRGETS-100-fr.jhtml
6.798;45.89;Les Houches;http://www.leshouches.com/;http://www.skiinfo.fr/meteo-neige/enneigement/les-houches-EFRHOUCHES-100-fr.jhtml
6.616;45.856;Megeve;http://www.megeve.com;http://www.skiinfo.fr/meteo-neige/enneigement/megeve-EFRMEGEVE-100-fr.jhtml
6.696;46.2;Montriond;http://www.montriond-portesdusoleil.com/;http://www.skiinfo.fr/meteo-neige/enneigement/montriond-EFRMONTRIOND-100-fr.jhtml
6.678;46.083;Morillon;http://www.ot-morillon.fr/;nil
6.701;46.181;Morzine;http://www.morzine.com/;http://www.skiinfo.fr/meteo-neige/enneigement/morzine-EFRMORZINE-100-fr.jhtml
6.724;46.082;Samoens;http://www.samoens.com/;http://www.skiinfo.fr/meteo-neige/enneigement/samoens-EFRSAMOENS-100-fr.jhtml
6.697;46.391;Thollon les Memises;http://www.thollonlesmemises.com/;http://www.skiinfo.fr/meteo-neige/enneigement/thollon-les-memises-EFRTHOLLONME-100-fr.jhtml
